ID,type,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_definition,http__www_w3_org_2004_02_skos_core_altLabel,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_closeMatch,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_inScheme
https://aphia.org/ns/traits/body_size_unit#,collection,,,,,https://aphia.org/ns/traits/body_size_unit#meter,,"The unit of a body size (e.g. m, cm, mm).",
https://aphia.org/ns/traits/body_size_unit#square_decimeter,concept,square decimeter,square decimeter,dm²,https://aphia.org/ns/attribute-trait/Trait,,,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#square_meter,concept,square meter,square meter,m²,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/UMSQ/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#meter,concept,meter,meter,m,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#cubic_centimeter,concept,cubic centimeter,cubic centimeter,cm³,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/VVCC/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#millimeter,concept,millimeter,millimeter,mm,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/UXMM/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#centimeter,concept,centimeter,centimeter,cm,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/ULCM/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#micrometer,concept,micrometer,micrometer,µm,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#kilogram,concept,kilogram,kilogram,kg,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/KGXX/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#inch,concept,inch,inch,inches,https://aphia.org/ns/attribute-trait/Trait,,,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#square_centimeter,concept,square centimeter,square centimeter,cm²,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/SQCM/,,https://aphia.org/ns/traits/
https://aphia.org/ns/traits/body_size_unit#ton,concept,ton,ton,,https://aphia.org/ns/attribute-trait/Trait,,https://vocab.nerc.ac.uk/collection/P06/current/MTON/,,https://aphia.org/ns/traits/
