ID,type,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_definition,http__purl_org_dc_terms_description
https://aphia.org/ns/traits/asexual_reproduction#,collection,,,,,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_not_confirmed,,"Reproduction which does not involve formation and fusion of gametes and results in progeny with an identical genetic constitution to the parent and to each other. Reproduction may occur by binary fission, budding, asexual spore formation or vegetative propagation. In asexual division in eukaryotic organisms, all cell divisions are by mitosis."
https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,concept,https://aphia.org/ns/traits/asexual_reproduction#by_budding,,https://aphia.org/ns/attribute-trait/Trait,Asexual reproduction,https://aphia.org/ns/traits/,,"The taxon reproduces asexually, which is reproduction which does not involve fusion of gametes or meiosis and usually results in progeny with an identical genetic constitution to the parent and to each other. Asexual reproduction may amongst others occur by binary fission, budding, asexual spore formation or vegetative propagation (adapted from Henderson's Dictionary of Biology; Lawrence, 2005).",
https://aphia.org/ns/traits/asexual_reproduction#by_budding,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By budding,https://aphia.org/ns/traits/,,"(1) production of buds; (2) (zool.) method of asexual reproduction common in sponges, coelenterates and some other invertebrates, in which new individuals develop as outgrowths of the parent organism, and may eventually be set free; (3) (bot.) artificial vegetative propagation by insertion of a bud within the bark of another plant; (4) (mycol.) cell division by the outgrowth of a new cell from the parent cell; (5) (virol.) release of certain animal viruses from the host cell by their envelopment in a piece of plasma membrane which subsequently pinches off from the cell.",
https://aphia.org/ns/traits/asexual_reproduction#by_direct_development_of_spores,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By direct development of spores,https://aphia.org/ns/traits/,,"Reproduction by asexual spores resulting in a new individual of the same ploidy (exospore, endospore, monospore, bispore, paraspore, zoospore, aplanospore, autospore). (Definition composed by Line Le Gall, Olivier De Clerck, Sofie Vranken and Marine Robuchon, based on diverse literature sources, in the framework of compiling macroalgae traits.)",
https://aphia.org/ns/traits/asexual_reproduction#unknown,concept,,,https://aphia.org/ns/attribute-trait/Trait,Asexual reproduction unknown,https://aphia.org/ns/traits/,,According to literature it is unknown whether or not this organism reproduces asexually.,
https://aphia.org/ns/traits/asexual_reproduction#by_unknown_mechanism,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By unknown mechanism,https://aphia.org/ns/traits/,,"Asexual reproduction is detected, but the underpinning mechanism is unknown. (Definition composed by Line Le Gall, Olivier De Clerck, Sofie Vranken and Marine Robuchon, based on diverse literature sources, in the framework of compiling macroalgae traits.)",
https://aphia.org/ns/traits/asexual_reproduction#by_binary_fission,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By binary fission,https://aphia.org/ns/traits/,,"Binary fission in prokaryotic organisms, the chief mode of division, in which a cell divides into two equal daughter cells, each containing a copy of the chromosome.",
https://aphia.org/ns/traits/asexual_reproduction#by_vegetative_propagules,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By vegetative propagules,https://aphia.org/ns/traits/,,"Any spore, seed, fruit or other part of a plant or microorganism capable of producing a new plant and used as a means of dispersal (Henderson's Dictionary of Biology; Lawrence, 2005). Asexual reproduction by development of a new individual from a vegetative progagule. (Definition composed by Line Le Gall, Olivier De Clerck, Sofie Vranken and Marine Robuchon, based on diverse literature sources, in the framework of compiling macroalgae traits.)",
https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_not_confirmed,concept,,,https://aphia.org/ns/attribute-trait/Trait,No asexual reproduction,https://aphia.org/ns/traits/,,"The taxon does not reproduce asexually, which is reproduction which does not involve formation and fusion of gametes and results in progeny with an identical genetic constitution to the parent and to each other. Reproduction may occur by binary fission, budding, asexual spore formation or vegetative propagation. In asexual division in eukaryotic organisms, all cell divisions are by mitosis.",
https://aphia.org/ns/traits/asexual_reproduction#by_parthenogenesis,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By parthenogenesis,https://aphia.org/ns/traits/,,"Reproduction from a female gamete without fertilization by a male gamete (Henderson's Dictionary of Biology; Lawrence, 2005). Direct development of a new individual from an unfused gamete. (Definition composed by Line Le Gall, Olivier De Clerck, Sofie Vranken and Marine Robuchon, based on diverse literature sources, in the framework of compiling macroalgae traits.)",
https://aphia.org/ns/traits/asexual_reproduction#by_fragmentation,concept,,https://aphia.org/ns/traits/asexual_reproduction#asexual_reproduction_confirmed,https://aphia.org/ns/attribute-trait/Trait,By fragmentation,https://aphia.org/ns/traits/,,"Type of asexual reproduction in which the organism breaks up into smaller pieces, each of which can develop into a new individual, as in some algae.",
