ID,type,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_definition
https://aphia.org/ns/traits/ecological_interactions#,collection,,,,https://aphia.org/ns/traits/ecological_interactions#facultative_dinoflagellates_zooxanthellate,,,"These terms are related to how an organism ecologically interacts with other organisms, whether it is free living or symbiotic (e.g. parasitic).",
https://aphia.org/ns/traits/ecological_interactions#suspected_symbiont,concept,,Suspected symbiont,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#symbiotic,https://aphia.org/ns/attribute-trait/Trait,,"Species which is suspected to take part in a symbiotic relation, but without real observations."
https://aphia.org/ns/traits/ecological_interactions#obligate_photosymbiotic,concept,https://aphia.org/ns/traits/ecological_interactions#obligate_unknown,Obligate photosymbiotic,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#photosymbiotic,https://aphia.org/ns/attribute-trait/Trait,,"Organism hosts phototropic partner, obligately."
https://aphia.org/ns/traits/ecological_interactions#endocommensal,concept,,Endocommensal,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#commensal,https://aphia.org/ns/attribute-trait/Trait,,A commensal symbiont that lives inside of its host.
https://aphia.org/ns/traits/ecological_interactions#obligate_unknown,concept,,Obligate Unknown,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#obligate_photosymbiotic,https://aphia.org/ns/attribute-trait/Trait,,The photosynthetic partner is unknown.
https://aphia.org/ns/traits/ecological_interactions#decorating,concept,,Decorating,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#symbiotic,https://aphia.org/ns/attribute-trait/Trait,,Decorating (hooked setae modification).
https://aphia.org/ns/traits/ecological_interactions#cleaning,concept,,Cleaning,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#mutualistic,https://aphia.org/ns/attribute-trait/Trait,,"Species that removes ectoparasites, diseased and injured tissue, and unwanted food particles from a client (host)."
https://aphia.org/ns/traits/ecological_interactions#obligate_green_algae_zoochlorellate,concept,,Obligate green algae (apozoochlorellate),https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#obligate_photosymbiotic,https://aphia.org/ns/attribute-trait/Trait,,"The photosynthetic partner is a green algae, and specifically a Chlorophyta."
https://aphia.org/ns/traits/ecological_interactions#ectosymbiont,concept,,Ectosymbiont,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#symbiotic,https://aphia.org/ns/attribute-trait/Trait,,Co-habiting as ectosymbiont.
https://aphia.org/ns/traits/ecological_interactions#photosymbiotic,concept,https://aphia.org/ns/traits/ecological_interactions#obligate_photosymbiotic,Photosymbiotic,https://aphia.org/ns/traits/,,https://aphia.org/ns/traits/ecological_interactions#symbiotic,https://aphia.org/ns/attribute-trait/Trait,,Organism hosts phototropic partner.
