ID,type,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_prefLabel
https://aphia.org/ns/traits/fossil_range#,collection,,,Chronostratigraphic range of an organism.,,,https://aphia.org/ns/traits/fossil_range#ectasian,
https://aphia.org/ns/traits/fossil_range#neogene,concept,https://aphia.org/ns/traits/fossil_range#cenozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#pliocene,https://aphia.org/ns/traits/,,neogene
https://aphia.org/ns/traits/fossil_range#paleozoic,concept,https://aphia.org/ns/traits/fossil_range#phanerozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#carboniferous,https://aphia.org/ns/traits/,,paleozoic
https://aphia.org/ns/traits/fossil_range#silurian,concept,https://aphia.org/ns/traits/fossil_range#paleozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#pridoli,https://aphia.org/ns/traits/,,silurian
https://aphia.org/ns/traits/fossil_range#ordovician_middle,concept,https://aphia.org/ns/traits/fossil_range#ordovician,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#darriwilian,https://aphia.org/ns/traits/,,ordovician middle
https://aphia.org/ns/traits/fossil_range#katian,concept,https://aphia.org/ns/traits/fossil_range#ordovician_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,katian
https://aphia.org/ns/traits/fossil_range#hettangian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,hettangian
https://aphia.org/ns/traits/fossil_range#stage_4,concept,https://aphia.org/ns/traits/fossil_range#series_2,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,stage 4
https://aphia.org/ns/traits/fossil_range#triassic_lower,concept,https://aphia.org/ns/traits/fossil_range#triassic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#olenekian,https://aphia.org/ns/traits/,,triassic lower
https://aphia.org/ns/traits/fossil_range#visean,concept,https://aphia.org/ns/traits/fossil_range#mississippian_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,visean
